参数编号,CoE Index,参数名称,类型,位宽,访问,PDO映射,默认值,所属组,示波器推荐通道
P2-15,0x220F,DRV's Parameter  P2-15,UINT,16,rw,RT,-,P2,—
P2-16,0x2210,DRV's Parameter  P2-16,UINT,16,rw,RT,-,P2,—
P2-17,0x2211,DRV's Parameter  P2-17,UINT,16,rw,RT,-,P2,—
P2-18,0x2212,DRV's Parameter  P2-18,UINT,16,rw,RT,-,P2,—
P2-19,0x2213,DRV's Parameter  P2-19,UINT,16,rw,RT,-,P2,—
P2-20,0x2214,DRV's Parameter  P2-20,UINT,16,rw,RT,-,P2,—
P2-21,0x2215,DRV's Parameter  P2-21,UINT,16,rw,RT,-,P2,—
P2-22,0x2216,DRV's Parameter  P2-22,UINT,16,rw,RT,-,P2,—
P2-23,0x2217,DRV's Parameter  P2-23,UINT,16,rw,RT,-,P2,—
P2-24,0x2218,DRV's Parameter  P2-24,UINT,16,rw,RT,-,P2,—
P2-25,0x2219,DRV's Parameter  P2-25,UINT,16,rw,RT,-,P2,—
P2-26,0x221A,DRV's Parameter  P2-26,UINT,16,rw,RT,-,P2,—
P2-27,0x221B,DRV's Parameter  P2-27,UINT,16,rw,RT,-,P2,—
P2-28,0x221C,DRV's Parameter  P2-28,UINT,16,rw,RT,-,P2,—
P2-29,0x221D,DRV's Parameter  P2-29,UDINT,32,rw,RT,-,P2,—
P2-30,0x221E,DRV's Parameter  P2-30,UINT,16,rw,RT,-,P2,—
P2-31,0x221F,DRV's Parameter  P2-31,UINT,16,rw,RT,-,P2,—
P2-32,0x2220,DRV's Parameter  P2-32,UINT,16,rw,RT,-,P2,—
P2-33,0x2221,DRV's Parameter  P2-33,UINT,16,rw,RT,-,P2,—
P2-34,0x2222,DRV's Parameter  P2-34,UINT,16,rw,RT,-,P2,—
P2-35,0x2223,DRV's Parameter  P2-35,UDINT,32,rw,RT,-,P2,—
P2-36,0x2224,DRV's Parameter  P2-36,UINT,16,rw,RT,-,P2,—
P2-37,0x2225,DRV's Parameter  P2-37,UINT,16,rw,RT,-,P2,—
P2-38,0x2226,DRV's Parameter  P2-38,UINT,16,rw,RT,-,P2,—
P2-39,0x2227,DRV's Parameter  P2-39,UINT,16,rw,RT,-,P2,—
P2-40,0x2228,DRV's Parameter  P2-40,UINT,16,rw,RT,-,P2,—
P2-41,0x2229,DRV's Parameter  P2-41,UINT,16,rw,RT,-,P2,—
P2-42,0x222A,DRV's Parameter  P2-42,UINT,16,ro,T,-,P2,—
P2-43,0x222B,DRV's Parameter  P2-43,UINT,16,rw,RT,-,P2,—
P2-44,0x222C,DRV's Parameter  P2-44,UINT,16,rw,RT,-,P2,—
P2-45,0x222D,DRV's Parameter  P2-45,UINT,16,rw,RT,-,P2,—
P2-46,0x222E,DRV's Parameter  P2-46,UINT,16,rw,RT,-,P2,—
P2-47,0x222F,DRV's Parameter  P2-47,UINT,16,rw,RT,-,P2,—
P2-48,0x2230,DRV's Parameter  P2-48,UINT,16,rw,RT,-,P2,—
P2-49,0x2231,DRV's Parameter  P2-49,UINT,16,rw,RT,-,P2,—
P2-50,0x2232,DRV's Parameter  P2-50,UINT,16,rw,RT,-,P2,—
P2-51,0x2233,DRV's Parameter  P2-51,UINT,16,ro,T,-,P2,—
P2-52,0x2234,DRV's Parameter  P2-52,UDINT,32,ro,T,-,P2,—
P2-53,0x2235,DRV's Parameter  P2-53,UINT,16,rw,RT,-,P2,—
P2-54,0x2236,DRV's Parameter  P2-54,UINT,16,rw,RT,-,P2,—
P2-55,0x2237,DRV's Parameter  P2-55,UINT,16,rw,RT,-,P2,—
P2-56,0x2238,DRV's Parameter  P2-56,UINT,16,rw,RT,-,P2,—
P2-57,0x2239,DRV's Parameter  P2-57,UINT,16,rw,RT,-,P2,—
P2-58,0x223A,DRV's Parameter  P2-58,UINT,16,rw,RT,-,P2,—
P2-59,0x223B,DRV's Parameter  P2-59,UINT,16,ro,T,-,P2,—
P2-60,0x223C,DRV's Parameter  P2-60,UDINT,32,rw,RT,-,P2,—
P2-61,0x223D,DRV's Parameter  P2-61,UDINT,32,rw,RT,-,P2,—
P2-62,0x223E,DRV's Parameter  P2-62,UDINT,32,rw,RT,-,P2,—
P2-63,0x223F,DRV's Parameter  P2-63,UINT,16,ro,T,-,P2,—
P2-64,0x2240,DRV's Parameter  P2-64,UINT,16,rw,RT,-,P2,—
P2-65,0x2241,DRV's Parameter  P2-65,UINT,16,rw,RT,-,P2,—
P2-66,0x2242,DRV's Parameter  P2-66,UINT,16,rw,RT,-,P2,—
P2-67,0x2243,DRV's Parameter  P2-67,UINT,16,rw,RT,-,P2,—
P2-68,0x2244,DRV's Parameter  P2-68,UINT,16,rw,RT,-,P2,—
P2-69,0x2245,DRV's Parameter  P2-69,UINT,16,rw,RT,-,P2,—
P2-70,0x2246,DRV's Parameter  P2-70,UINT,16,rw,RT,-,P2,—
P2-71,0x2247,DRV's Parameter  P2-71,UINT,16,rw,RT,-,P2,—
P2-72,0x2248,DRV's Parameter  P2-72,UINT,16,ro,T,-,P2,—
P2-73,0x2249,DRV's Parameter  P2-73,UDINT,32,ro,T,-,P2,—
P2-74,0x224A,DRV's Parameter  P2-74,UINT,16,ro,T,-,P2,—
P2-75,0x224B,DRV's Parameter  P2-75,UDINT,32,ro,T,-,P2,—
P2-76,0x224C,DRV's Parameter  P2-76,UINT,16,ro,T,-,P2,—
P2-77,0x224D,DRV's Parameter  P2-77,UINT,16,ro,T,-,P2,—
P2-78,0x224E,DRV's Parameter  P2-78,UINT,16,ro,T,-,P2,—
P2-79,0x224F,DRV's Parameter  P2-79,UINT,16,ro,T,-,P2,—
P2-80,0x2250,DRV's Parameter  P2-80,UINT,16,ro,T,-,P2,—
P2-81,0x2251,DRV's Parameter  P2-81,UINT,16,ro,T,-,P2,—
P2-82,0x2252,DRV's Parameter  P2-82,UINT,16,ro,T,-,P2,—
P2-83,0x2253,DRV's Parameter  P2-83,UDINT,32,ro,T,-,P2,—
P2-84,0x2254,DRV's Parameter  P2-84,UINT,16,ro,T,-,P2,—
P2-85,0x2255,DRV's Parameter  P2-85,UINT,16,ro,T,-,P2,—
P2-86,0x2256,DRV's Parameter  P2-86,UINT,16,ro,T,-,P2,—
P2-87,0x2257,DRV's Parameter  P2-87,UINT,16,ro,T,-,P2,—
P2-88,0x2258,DRV's Parameter  P2-88,UINT,16,ro,T,-,P2,—
P2-89,0x2259,DRV's Parameter  P2-89,UINT,16,ro,T,-,P2,—
P2-90,0x225A,DRV's Parameter  P2-90,UINT,16,ro,T,-,P2,—
P2-91,0x225B,DRV's Parameter  P2-91,UINT,16,ro,T,-,P2,—
P2-92,0x225C,DRV's Parameter  P2-92,UINT,16,ro,T,-,P2,—
P2-93,0x225D,DRV's Parameter  P2-93,UINT,16,rw,RT,-,P2,—
P2-94,0x225E,DRV's Parameter  P2-94,UINT,16,ro,T,-,P2,—
P2-95,0x225F,DRV's Parameter  P2-95,UINT,16,rw,RT,-,P2,—
P2-96,0x2260,DRV's Parameter  P2-96,UINT,16,ro,T,-,P2,—
P2-97,0x2261,DRV's Parameter  P2-97,UINT,16,rw,RT,-,P2,—
P2-98,0x2262,DRV's Parameter  P2-98,UINT,16,ro,T,-,P2,—
P2-99,0x2263,DRV's Parameter  P2-99,UINT,16,rw,RT,-,P2,—
P2-100,0x2264,DRV's Parameter  P2-100,UINT,16,ro,T,-,P2,—
P2-101,0x2265,DRV's Parameter  P2-101,UINT,16,rw,RT,-,P2,—
P2-102,0x2266,DRV's Parameter  P2-102,UINT,16,ro,T,-,P2,—
P2-103,0x2267,DRV's Parameter  P2-103,UINT,16,rw,RT,-,P2,—
P2-104,0x2268,DRV's Parameter  P2-104,UINT,16,ro,T,-,P2,—
P2-105,0x2269,DRV's Parameter  P2-105,UINT,16,rw,RT,-,P2,—
P2-106,0x226A,DRV's Parameter  P2-106,UDINT,32,ro,T,-,P2,—
P2-107,0x226B,DRV's Parameter  P2-107,UINT,16,rw,RT,-,P2,—
P2-108,0x226C,DRV's Parameter  P2-108,UINT,16,ro,T,-,P2,—
P2-109,0x226D,DRV's Parameter  P2-109,UINT,16,rw,RT,-,P2,—
P2-110,0x226E,DRV's Parameter  P2-110,UINT,16,ro,T,-,P2,—
P2-111,0x226F,DRV's Parameter  P2-111,UINT,16,rw,RT,-,P2,—
P2-112,0x2270,DRV's Parameter  P2-112,UINT,16,ro,T,-,P2,—
P2-113,0x2271,DRV's Parameter  P2-113,UINT,16,rw,RT,-,P2,—
P2-114,0x2272,DRV's Parameter  P2-114,UINT,16,ro,T,-,P2,—
P2-115,0x2273,DRV's Parameter  P2-115,UINT,16,rw,RT,-,P2,—
P2-116,0x2274,DRV's Parameter  P2-116,UINT,16,ro,T,-,P2,—
P2-117,0x2275,DRV's Parameter  P2-117,UINT,16,rw,RT,-,P2,—
P2-118,0x2276,DRV's Parameter  P2-118,UINT,16,ro,T,-,P2,—
P2-119,0x2277,DRV's Parameter  P2-119,UINT,16,rw,RT,-,P2,—
P2-120,0x2278,DRV's Parameter  P2-120,UINT,16,ro,T,-,P2,—
P2-121,0x2279,DRV's Parameter  P2-121,UDINT,32,rw,RT,-,P2,—
P2-122,0x227A,DRV's Parameter  P2-122,UINT,16,ro,T,-,P2,—
P2-123,0x227B,DRV's Parameter  P2-123,UINT,16,rw,RT,-,P2,—
P2-124,0x227C,DRV's Parameter  P2-124,UDINT,32,ro,T,-,P2,—
P2-125,0x227D,DRV's Parameter  P2-125,UINT,16,rw,RT,-,P2,—
P3-00,0x2300,DRV's Parameter  P3-00,UINT,16,rw,RT,-,P3,—
P3-01,0x2301,DRV's Parameter  P3-01,UINT,16,rw,RT,-,P3,—
P3-02,0x2302,DRV's Parameter  P3-02,UINT,16,rw,RT,-,P3,—
P3-03,0x2303,DRV's Parameter  P3-03,UINT,16,rw,RT,-,P3,—
P3-04,0x2304,DRV's Parameter  P3-04,UINT,16,rw,RT,-,P3,—
P3-05,0x2305,DRV's Parameter  P3-05,UINT,16,rw,RT,-,P3,—
P3-06,0x2306,DRV's Parameter  P3-06,UINT,16,rw,RT,-,P3,—
P3-07,0x2307,DRV's Parameter  P3-07,UINT,16,rw,RT,-,P3,—
P3-08,0x2308,DRV's Parameter  P3-08,UINT,16,rw,RT,-,P3,—
P3-09,0x2309,DRV's Parameter  P3-09,UINT,16,rw,RT,-,P3,—
P3-10,0x230A,DRV's Parameter  P3-10,UINT,16,rw,RT,-,P3,—
P3-11,0x230B,DRV's Parameter  P3-11,UINT,16,rw,RT,-,P3,—
P3-12,0x230C,DRV's Parameter  P3-12,UINT,16,rw,RT,-,P3,—
P3-13,0x230D,DRV's Parameter  P3-13,UINT,16,rw,RT,-,P3,—
P3-14,0x230E,DRV's Parameter  P3-14,UINT,16,ro,T,-,P3,—
P3-15,0x230F,DRV's Parameter  P3-15,UINT,16,ro,T,-,P3,—
P3-16,0x2310,DRV's Parameter  P3-16,UINT,16,ro,T,-,P3,—
P3-17,0x2311,DRV's Parameter  P3-17,UINT,16,ro,T,-,P3,—
P3-18,0x2312,DRV's Parameter  P3-18,UDINT,32,rw,RT,-,P3,—
P3-19,0x2313,DRV's Parameter  P3-19,UDINT,32,rw,RT,-,P3,—
P3-20,0x2314,DRV's Parameter  P3-20,UINT,16,rw,RT,-,P3,—
P3-21,0x2315,DRV's Parameter  P3-21,UINT,16,rw,RT,-,P3,—
P3-22,0x2316,DRV's Parameter  P3-22,UINT,16,rw,RT,-,P3,—
P3-23,0x2317,DRV's Parameter  P3-23,UINT,16,rw,RT,-,P3,—
P3-24,0x2318,DRV's Parameter  P3-24,UINT,16,rw,RT,-,P3,—
P3-25,0x2319,DRV's Parameter  P3-25,UINT,16,rw,RT,-,P3,—
P3-26,0x231A,DRV's Parameter  P3-26,UINT,16,rw,RT,-,P3,—
P3-27,0x231B,DRV's Parameter  P3-27,UINT,16,rw,RT,-,P3,—
P3-28,0x231C,DRV's Parameter  P3-28,UINT,16,rw,RT,-,P3,—
P3-29,0x231D,DRV's Parameter  P3-29,UINT,16,rw,RT,-,P3,—
P3-30,0x231E,DRV's Parameter  P3-30,UINT,16,rw,RT,-,P3,—
P3-31,0x231F,DRV's Parameter  P3-31,UINT,16,rw,RT,-,P3,—
P3-32,0x2320,DRV's Parameter  P3-32,UINT,16,rw,RT,-,P3,—
P3-33,0x2321,DRV's Parameter  P3-33,UINT,16,rw,RT,-,P3,—
P3-34,0x2322,DRV's Parameter  P3-34,UINT,16,rw,RT,-,P3,—
P3-35,0x2323,DRV's Parameter  P3-35,UINT,16,rw,RT,-,P3,—
P3-36,0x2324,DRV's Parameter  P3-36,UINT,16,rw,RT,-,P3,—
P3-37,0x2325,DRV's Parameter  P3-37,UINT,16,rw,RT,-,P3,—
P3-38,0x2326,DRV's Parameter  P3-38,UINT,16,rw,RT,-,P3,—
P4-00,0x2400,DRV's Parameter  P4-00,UDINT,32,ro,T,-,P4,—
P4-01,0x2401,DRV's Parameter  P4-01,UDINT,32,ro,T,-,P4,—
P4-02,0x2402,DRV's Parameter  P4-02,UDINT,32,ro,T,-,P4,—
P4-03,0x2403,DRV's Parameter  P4-03,UDINT,32,ro,T,-,P4,—
P4-04,0x2404,DRV's Parameter  P4-04,UDINT,32,ro,T,-,P4,—
P4-05,0x2405,DRV's Parameter  P4-05,UINT,16,rw,RT,-,P4,—
P4-06,0x2406,DRV's Parameter  P4-06,UINT,16,rw,RT,-,P4,—
P4-07,0x2407,DRV's Parameter  P4-07,UINT,16,rw,RT,-,P4,—
P4-08,0x2408,DRV's Parameter  P4-08,UINT,16,ro,T,-,P4,—
P4-09,0x2409,DRV's Parameter  P4-09,UINT,16,ro,T,-,P4,—
P4-10,0x240A,DRV's Parameter  P4-10,UINT,16,rw,RT,-,P4,—
P4-11,0x240B,DRV's Parameter  P4-11,UINT,16,rw,RT,-,P4,—
P4-12,0x240C,DRV's Parameter  P4-12,UINT,16,rw,RT,-,P4,—
P4-13,0x240D,DRV's Parameter  P4-13,UINT,16,rw,RT,-,P4,—
P4-14,0x240E,DRV's Parameter  P4-14,UINT,16,rw,RT,-,P4,—
P4-15,0x240F,DRV's Parameter  P4-15,UINT,16,rw,RT,-,P4,—
P4-16,0x2410,DRV's Parameter  P4-16,UINT,16,rw,RT,-,P4,—
P4-17,0x2411,DRV's Parameter  P4-17,UINT,16,rw,RT,-,P4,—
P4-18,0x2412,DRV's Parameter  P4-18,UINT,16,rw,RT,-,P4,—
P4-19,0x2413,DRV's Parameter  P4-19,UINT,16,rw,RT,-,P4,—
P4-20,0x2414,DRV's Parameter  P4-20,UINT,16,rw,RT,-,P4,—
P4-21,0x2415,DRV's Parameter  P4-21,UINT,16,rw,RT,-,P4,—
P4-22,0x2416,DRV's Parameter  P4-22,UINT,16,rw,RT,-,P4,—
P4-23,0x2417,DRV's Parameter  P4-23,UINT,16,rw,RT,-,P4,—
P4-24,0x2418,DRV's Parameter  P4-24,UINT,16,rw,RT,-,P4,—
P5-00,0x2500,DRV's Parameter  P5-00,UDINT,32,ro,T,-,P5,—
P5-01,0x2501,DRV's Parameter  P5-01,UINT,16,rw,RT,-,P5,—
P5-02,0x2502,DRV's Parameter  P5-02,UINT,16,rw,RT,-,P5,—
P5-03,0x2503,DRV's Parameter  P5-03,UDINT,32,rw,RT,-,P5,—
P5-04,0x2504,DRV's Parameter  P5-04,UINT,16,rw,RT,-,P5,—
P5-05,0x2505,DRV's Parameter  P5-05,UDINT,32,rw,RT,-,P5,—
P5-06,0x2506,DRV's Parameter  P5-06,UDINT,32,rw,RT,-,P5,—
P5-07,0x2507,DRV's Parameter  P5-07,UINT,16,rw,RT,-,P5,—
P5-08,0x2508,DRV's Parameter  P5-08,UDINT,32,rw,RT,-,P5,—
P5-09,0x2509,DRV's Parameter  P5-09,UDINT,32,rw,RT,-,P5,—
P5-10,0x250A,DRV's Parameter  P5-10,UINT,16,ro,T,-,P5,—
P5-11,0x250B,DRV's Parameter  P5-11,UINT,16,rw,RT,-,P5,—
P5-12,0x250C,DRV's Parameter  P5-12,UDINT,32,rw,RT,-,P5,—
P5-13,0x250D,DRV's Parameter  P5-13,UDINT,32,rw,RT,-,P5,—
P5-14,0x250E,DRV's Parameter  P5-14,UINT,16,ro,T,-,P5,—
P5-15,0x250F,DRV's Parameter  P5-15,UINT,16,rw,RT,-,P5,—
P5-16,0x2510,DRV's Parameter  P5-16,UDINT,32,rw,RT,-,P5,—
P5-17,0x2511,DRV's Parameter  P5-17,UDINT,32,rw,RT,-,P5,—
P5-18,0x2512,DRV's Parameter  P5-18,UDINT,32,rw,RT,-,P5,—
P5-19,0x2513,DRV's Parameter  P5-19,UDINT,32,rw,RT,-,P5,—
P5-20,0x2514,DRV's Parameter  P5-20,UINT,16,rw,RT,-,P5,—
P5-21,0x2515,DRV's Parameter  P5-21,UINT,16,rw,RT,-,P5,—
P5-22,0x2516,DRV's Parameter  P5-22,UINT,16,rw,RT,-,P5,—
P5-23,0x2517,DRV's Parameter  P5-23,UINT,16,rw,RT,-,P5,—
P5-24,0x2518,DRV's Parameter  P5-24,UINT,16,rw,RT,-,P5,—
P5-25,0x2519,DRV's Parameter  P5-25,UINT,16,rw,RT,-,P5,—
P5-26,0x251A,DRV's Parameter  P5-26,UINT,16,rw,RT,-,P5,—
P5-27,0x251B,DRV's Parameter  P5-27,UINT,16,rw,RT,-,P5,—
P5-28,0x251C,DRV's Parameter  P5-28,UINT,16,rw,RT,-,P5,—
P5-29,0x251D,DRV's Parameter  P5-29,UINT,16,rw,RT,-,P5,—
P5-30,0x251E,DRV's Parameter  P5-30,UINT,16,rw,RT,-,P5,—
