参数编号,CoE Index,参数名称,类型,位宽,访问,PDO映射,默认值,所属组,示波器推荐通道
P5-31,0x251F,DRV's Parameter  P5-31,UINT,16,rw,RT,-,P5,—
P5-32,0x2520,DRV's Parameter  P5-32,UINT,16,rw,RT,-,P5,—
P5-33,0x2521,DRV's Parameter  P5-33,UINT,16,rw,RT,-,P5,—
P5-34,0x2522,DRV's Parameter  P5-34,UINT,16,rw,RT,-,P5,—
P5-35,0x2523,DRV's Parameter  P5-35,UINT,16,rw,RT,-,P5,—
P5-36,0x2524,DRV's Parameter  P5-36,UINT,16,rw,RT,-,P5,—
P5-37,0x2525,DRV's Parameter  P5-37,UDINT,32,rw,RT,-,P5,—
P5-38,0x2526,DRV's Parameter  P5-38,UINT,16,rw,RT,-,P5,—
P5-39,0x2527,DRV's Parameter  P5-39,UINT,16,rw,RT,-,P5,—
P5-40,0x2528,DRV's Parameter  P5-40,UINT,16,rw,RT,-,P5,—
P5-41,0x2529,DRV's Parameter  P5-41,UINT,16,rw,RT,-,P5,—
P5-42,0x252A,DRV's Parameter  P5-42,UINT,16,rw,RT,-,P5,—
P5-43,0x252B,DRV's Parameter  P5-43,UINT,16,rw,RT,-,P5,—
P5-44,0x252C,DRV's Parameter  P5-44,UINT,16,rw,RT,-,P5,—
P5-45,0x252D,DRV's Parameter  P5-45,UINT,16,rw,RT,-,P5,—
P5-46,0x252E,DRV's Parameter  P5-46,UINT,16,rw,RT,-,P5,—
P5-47,0x252F,DRV's Parameter  P5-47,UINT,16,rw,RT,-,P5,—
P5-48,0x2530,DRV's Parameter  P5-48,UINT,16,rw,RT,-,P5,—
P5-49,0x2531,DRV's Parameter  P5-49,UINT,16,rw,RT,-,P5,—
P5-50,0x2532,DRV's Parameter  P5-50,UINT,16,rw,RT,-,P5,—
P5-51,0x2533,DRV's Parameter  P5-51,UINT,16,rw,RT,-,P5,—
P5-52,0x2534,DRV's Parameter  P5-52,UINT,16,rw,RT,-,P5,—
P5-53,0x2535,DRV's Parameter  P5-53,UINT,16,rw,RT,-,P5,—
P5-54,0x2536,DRV's Parameter  P5-54,UINT,16,rw,RT,-,P5,—
P5-55,0x2537,DRV's Parameter  P5-55,UINT,16,rw,RT,-,P5,—
P5-56,0x2538,DRV's Parameter  P5-56,UINT,16,rw,RT,-,P5,—
P5-57,0x2539,DRV's Parameter  P5-57,UDINT,32,rw,RT,-,P5,—
P5-58,0x253A,DRV's Parameter  P5-58,UINT,16,rw,RT,-,P5,—
P5-59,0x253B,DRV's Parameter  P5-59,UDINT,32,rw,RT,-,P5,—
P5-60,0x253C,DRV's Parameter  P5-60,UDINT,32,rw,RT,-,P5,—
P5-61,0x253D,DRV's Parameter  P5-61,UDINT,32,rw,RT,-,P5,—
P5-62,0x253E,DRV's Parameter  P5-62,UDINT,32,rw,RT,-,P5,—
P5-63,0x253F,DRV's Parameter  P5-63,UDINT,32,rw,RT,-,P5,—
P5-64,0x2540,DRV's Parameter  P5-64,UDINT,32,rw,RT,-,P5,—
P5-65,0x2541,DRV's Parameter  P5-65,UDINT,32,rw,RT,-,P5,—
P5-66,0x2542,DRV's Parameter  P5-66,UDINT,32,rw,RT,-,P5,—
P5-67,0x2543,DRV's Parameter  P5-67,UDINT,32,rw,RT,-,P5,—
P5-68,0x2544,DRV's Parameter  P5-68,UDINT,32,rw,RT,-,P5,—
P5-69,0x2545,DRV's Parameter  P5-69,UDINT,32,rw,RT,-,P5,—
P5-70,0x2546,DRV's Parameter  P5-70,UDINT,32,rw,RT,-,P5,—
P5-71,0x2547,DRV's Parameter  P5-71,UDINT,32,rw,RT,-,P5,—
P5-72,0x2548,DRV's Parameter  P5-72,UDINT,32,rw,RT,-,P5,—
P5-73,0x2549,DRV's Parameter  P5-73,UDINT,32,rw,RT,-,P5,—
P5-74,0x254A,DRV's Parameter  P5-74,UDINT,32,rw,RT,-,P5,—
P5-75,0x254B,DRV's Parameter  P5-75,UDINT,32,rw,RT,-,P5,—
P5-76,0x254C,DRV's Parameter  P5-76,UDINT,32,rw,RT,-,P5,—
P5-77,0x254D,DRV's Parameter  P5-77,UDINT,32,rw,RT,-,P5,—
P5-78,0x254E,DRV's Parameter  P5-78,UDINT,32,rw,RT,-,P5,—
P5-79,0x254F,DRV's Parameter  P5-79,UDINT,32,rw,RT,-,P5,—
P5-80,0x2550,DRV's Parameter  P5-80,UINT,16,rw,RT,-,P5,—
P5-81,0x2551,DRV's Parameter  P5-81,UINT,16,rw,RT,-,P5,—
P5-82,0x2552,DRV's Parameter  P5-82,UINT,16,rw,RT,-,P5,—
P5-83,0x2553,DRV's Parameter  P5-83,UINT,16,rw,RT,-,P5,—
P5-84,0x2554,DRV's Parameter  P5-84,UDINT,32,rw,RT,-,P5,—
P5-85,0x2555,DRV's Parameter  P5-85,UINT,16,rw,RT,-,P5,—
P5-86,0x2556,DRV's Parameter  P5-86,UDINT,32,rw,RT,-,P5,—
P5-87,0x2557,DRV's Parameter  P5-87,UDINT,32,rw,RT,-,P5,—
P5-88,0x2558,DRV's Parameter  P5-88,UDINT,32,rw,RT,-,P5,—
P5-89,0x2559,DRV's Parameter  P5-89,UDINT,32,rw,RT,-,P5,—
P5-90,0x255A,DRV's Parameter  P5-90,UINT,16,rw,RT,-,P5,—
P5-91,0x255B,DRV's Parameter  P5-91,UINT,16,rw,RT,-,P5,—
P5-92,0x255C,DRV's Parameter  P5-92,UDINT,32,rw,RT,-,P5,—
P5-93,0x255D,DRV's Parameter  P5-93,UDINT,32,rw,RT,-,P5,—
P5-94,0x255E,DRV's Parameter  P5-94,UDINT,32,rw,RT,-,P5,—
P5-95,0x255F,DRV's Parameter  P5-95,UDINT,32,rw,RT,-,P5,—
P5-96,0x2560,DRV's Parameter  P5-96,UDINT,32,rw,RT,-,P5,—
P5-97,0x2561,DRV's Parameter  P5-97,UINT,16,rw,RT,-,P5,—
P5-98,0x2562,DRV's Parameter  P5-98,UINT,16,rw,RT,-,P5,—
P5-99,0x2563,DRV's Parameter  P5-99,UINT,16,rw,RT,-,P5,—
P5-100,0x2564,DRV's Parameter  P5-100,UDINT,32,rw,RT,-,P5,—
P5-101,0x2565,DRV's Parameter  P5-101,UDINT,32,rw,RT,-,P5,—
P5-102,0x2566,DRV's Parameter  P5-102,UDINT,32,rw,RT,-,P5,—
P5-103,0x2567,DRV's Parameter  P5-103,UDINT,32,rw,RT,-,P5,—
P5-104,0x2568,DRV's Parameter  P5-104,UDINT,32,rw,RT,-,P5,—
P5-105,0x2569,DRV's Parameter  P5-105,UDINT,32,rw,RT,-,P5,—
P5-106,0x256A,DRV's Parameter  P5-106,UDINT,32,rw,RT,-,P5,—
P6-00,0x2600,DRV's Parameter  P6-00,UDINT,32,rw,RT,-,P6,—
P6-01,0x2601,DRV's Parameter  P6-01,UDINT,32,rw,RT,-,P6,—
P6-02,0x2602,DRV's Parameter  P6-02,UDINT,32,rw,RT,-,P6,—
P6-03,0x2603,DRV's Parameter  P6-03,UDINT,32,rw,RT,-,P6,—
P6-04,0x2604,DRV's Parameter  P6-04,UDINT,32,rw,RT,-,P6,—
P6-05,0x2605,DRV's Parameter  P6-05,UDINT,32,rw,RT,-,P6,—
P6-06,0x2606,DRV's Parameter  P6-06,UDINT,32,rw,RT,-,P6,—
P6-07,0x2607,DRV's Parameter  P6-07,UDINT,32,rw,RT,-,P6,—
P6-08,0x2608,DRV's Parameter  P6-08,UDINT,32,rw,RT,-,P6,—
P6-09,0x2609,DRV's Parameter  P6-09,UDINT,32,rw,RT,-,P6,—
P6-10,0x260A,DRV's Parameter  P6-10,UDINT,32,rw,RT,-,P6,—
P6-11,0x260B,DRV's Parameter  P6-11,UDINT,32,rw,RT,-,P6,—
P6-12,0x260C,DRV's Parameter  P6-12,UDINT,32,rw,RT,-,P6,—
P6-13,0x260D,DRV's Parameter  P6-13,UDINT,32,rw,RT,-,P6,—
P6-14,0x260E,DRV's Parameter  P6-14,UDINT,32,rw,RT,-,P6,—
P6-15,0x260F,DRV's Parameter  P6-15,UDINT,32,rw,RT,-,P6,—
P6-16,0x2610,DRV's Parameter  P6-16,UDINT,32,rw,RT,-,P6,—
P6-17,0x2611,DRV's Parameter  P6-17,UDINT,32,rw,RT,-,P6,—
P6-18,0x2612,DRV's Parameter  P6-18,UDINT,32,rw,RT,-,P6,—
P6-19,0x2613,DRV's Parameter  P6-19,UDINT,32,rw,RT,-,P6,—
P6-20,0x2614,DRV's Parameter  P6-20,UDINT,32,rw,RT,-,P6,—
P6-21,0x2615,DRV's Parameter  P6-21,UDINT,32,rw,RT,-,P6,—
P6-22,0x2616,DRV's Parameter  P6-22,UDINT,32,rw,RT,-,P6,—
P6-23,0x2617,DRV's Parameter  P6-23,UDINT,32,rw,RT,-,P6,—
P6-24,0x2618,DRV's Parameter  P6-24,UDINT,32,rw,RT,-,P6,—
P6-25,0x2619,DRV's Parameter  P6-25,UDINT,32,rw,RT,-,P6,—
P6-26,0x261A,DRV's Parameter  P6-26,UDINT,32,rw,RT,-,P6,—
P6-27,0x261B,DRV's Parameter  P6-27,UDINT,32,rw,RT,-,P6,—
P6-28,0x261C,DRV's Parameter  P6-28,UDINT,32,rw,RT,-,P6,—
P6-29,0x261D,DRV's Parameter  P6-29,UDINT,32,rw,RT,-,P6,—
P6-30,0x261E,DRV's Parameter  P6-30,UDINT,32,rw,RT,-,P6,—
P6-31,0x261F,DRV's Parameter  P6-31,UDINT,32,rw,RT,-,P6,—
P6-32,0x2620,DRV's Parameter  P6-32,UDINT,32,rw,RT,-,P6,—
P6-33,0x2621,DRV's Parameter  P6-33,UDINT,32,rw,RT,-,P6,—
P6-34,0x2622,DRV's Parameter  P6-34,UDINT,32,rw,RT,-,P6,—
P6-35,0x2623,DRV's Parameter  P6-35,UDINT,32,rw,RT,-,P6,—
P6-36,0x2624,DRV's Parameter  P6-36,UDINT,32,rw,RT,-,P6,—
P6-37,0x2625,DRV's Parameter  P6-37,UDINT,32,rw,RT,-,P6,—
P6-38,0x2626,DRV's Parameter  P6-38,UDINT,32,rw,RT,-,P6,—
P6-39,0x2627,DRV's Parameter  P6-39,UDINT,32,rw,RT,-,P6,—
P6-40,0x2628,DRV's Parameter  P6-40,UDINT,32,rw,RT,-,P6,—
P6-41,0x2629,DRV's Parameter  P6-41,UDINT,32,rw,RT,-,P6,—
P6-42,0x262A,DRV's Parameter  P6-42,UDINT,32,rw,RT,-,P6,—
P6-43,0x262B,DRV's Parameter  P6-43,UDINT,32,rw,RT,-,P6,—
P6-44,0x262C,DRV's Parameter  P6-44,UDINT,32,rw,RT,-,P6,—
P6-45,0x262D,DRV's Parameter  P6-45,UDINT,32,rw,RT,-,P6,—
P6-46,0x262E,DRV's Parameter  P6-46,UDINT,32,rw,RT,-,P6,—
P6-47,0x262F,DRV's Parameter  P6-47,UDINT,32,rw,RT,-,P6,—
P6-48,0x2630,DRV's Parameter  P6-48,UDINT,32,rw,RT,-,P6,—
P6-49,0x2631,DRV's Parameter  P6-49,UDINT,32,rw,RT,-,P6,—
P6-50,0x2632,DRV's Parameter  P6-50,UDINT,32,rw,RT,-,P6,—
P6-51,0x2633,DRV's Parameter  P6-51,UDINT,32,rw,RT,-,P6,—
P6-52,0x2634,DRV's Parameter  P6-52,UDINT,32,rw,RT,-,P6,—
P6-53,0x2635,DRV's Parameter  P6-53,UDINT,32,rw,RT,-,P6,—
P6-54,0x2636,DRV's Parameter  P6-54,UDINT,32,rw,RT,-,P6,—
P6-55,0x2637,DRV's Parameter  P6-55,UDINT,32,rw,RT,-,P6,—
P6-56,0x2638,DRV's Parameter  P6-56,UDINT,32,rw,RT,-,P6,—
P6-57,0x2639,DRV's Parameter  P6-57,UDINT,32,rw,RT,-,P6,—
P6-58,0x263A,DRV's Parameter  P6-58,UDINT,32,rw,RT,-,P6,—
P6-59,0x263B,DRV's Parameter  P6-59,UDINT,32,rw,RT,-,P6,—
P6-60,0x263C,DRV's Parameter  P6-60,UDINT,32,rw,RT,-,P6,—
P6-61,0x263D,DRV's Parameter  P6-61,UDINT,32,rw,RT,-,P6,—
P6-62,0x263E,DRV's Parameter  P6-62,UDINT,32,rw,RT,-,P6,—
P6-63,0x263F,DRV's Parameter  P6-63,UDINT,32,rw,RT,-,P6,—
P6-64,0x2640,DRV's Parameter  P6-64,UDINT,32,rw,RT,-,P6,—
P6-65,0x2641,DRV's Parameter  P6-65,UDINT,32,rw,RT,-,P6,—
P6-66,0x2642,DRV's Parameter  P6-66,UDINT,32,rw,RT,-,P6,—
P6-67,0x2643,DRV's Parameter  P6-67,UDINT,32,rw,RT,-,P6,—
P6-68,0x2644,DRV's Parameter  P6-68,UDINT,32,rw,RT,-,P6,—
P6-69,0x2645,DRV's Parameter  P6-69,UDINT,32,rw,RT,-,P6,—
P6-70,0x2646,DRV's Parameter  P6-70,UDINT,32,rw,RT,-,P6,—
P6-71,0x2647,DRV's Parameter  P6-71,UDINT,32,rw,RT,-,P6,—
P6-72,0x2648,DRV's Parameter  P6-72,UDINT,32,rw,RT,-,P6,—
P6-73,0x2649,DRV's Parameter  P6-73,UDINT,32,rw,RT,-,P6,—
P6-74,0x264A,DRV's Parameter  P6-74,UDINT,32,rw,RT,-,P6,—
P6-75,0x264B,DRV's Parameter  P6-75,UDINT,32,rw,RT,-,P6,—
P6-76,0x264C,DRV's Parameter  P6-76,UDINT,32,rw,RT,-,P6,—
P6-77,0x264D,DRV's Parameter  P6-77,UDINT,32,rw,RT,-,P6,—
P6-78,0x264E,DRV's Parameter  P6-78,UDINT,32,rw,RT,-,P6,—
P6-79,0x264F,DRV's Parameter  P6-79,UDINT,32,rw,RT,-,P6,—
P6-80,0x2650,DRV's Parameter  P6-80,UDINT,32,rw,RT,-,P6,—
P6-81,0x2651,DRV's Parameter  P6-81,UDINT,32,rw,RT,-,P6,—
P6-82,0x2652,DRV's Parameter  P6-82,UDINT,32,rw,RT,-,P6,—
P6-83,0x2653,DRV's Parameter  P6-83,UDINT,32,rw,RT,-,P6,—
P6-84,0x2654,DRV's Parameter  P6-84,UDINT,32,rw,RT,-,P6,—
P6-85,0x2655,DRV's Parameter  P6-85,UDINT,32,rw,RT,-,P6,—
P6-86,0x2656,DRV's Parameter  P6-86,UDINT,32,rw,RT,-,P6,—
P6-87,0x2657,DRV's Parameter  P6-87,UDINT,32,rw,RT,-,P6,—
P6-88,0x2658,DRV's Parameter  P6-88,UDINT,32,rw,RT,-,P6,—
P6-89,0x2659,DRV's Parameter  P6-89,UDINT,32,rw,RT,-,P6,—
P6-90,0x265A,DRV's Parameter  P6-90,UDINT,32,rw,RT,-,P6,—
P6-91,0x265B,DRV's Parameter  P6-91,UDINT,32,rw,RT,-,P6,—
P6-92,0x265C,DRV's Parameter  P6-92,UDINT,32,rw,RT,-,P6,—
P6-93,0x265D,DRV's Parameter  P6-93,UDINT,32,rw,RT,-,P6,—
P6-94,0x265E,DRV's Parameter  P6-94,UDINT,32,rw,RT,-,P6,—
P6-95,0x265F,DRV's Parameter  P6-95,UDINT,32,rw,RT,-,P6,—
P6-96,0x2660,DRV's Parameter  P6-96,UDINT,32,rw,RT,-,P6,—
P6-97,0x2661,DRV's Parameter  P6-97,UDINT,32,rw,RT,-,P6,—
P6-98,0x2662,DRV's Parameter  P6-98,UDINT,32,rw,RT,-,P6,—
P6-99,0x2663,DRV's Parameter  P6-99,UDINT,32,rw,RT,-,P6,—
P7-00,0x2700,DRV's Parameter  P7-00,UDINT,32,rw,RT,-,P7,—
P7-01,0x2701,DRV's Parameter  P7-01,UDINT,32,rw,RT,-,P7,—
P7-02,0x2702,DRV's Parameter  P7-02,UDINT,32,rw,RT,-,P7,—
P7-03,0x2703,DRV's Parameter  P7-03,UDINT,32,rw,RT,-,P7,—
P7-04,0x2704,DRV's Parameter  P7-04,UDINT,32,rw,RT,-,P7,—
P7-05,0x2705,DRV's Parameter  P7-05,UDINT,32,rw,RT,-,P7,—
P7-06,0x2706,DRV's Parameter  P7-06,UDINT,32,rw,RT,-,P7,—
P7-07,0x2707,DRV's Parameter  P7-07,UDINT,32,rw,RT,-,P7,—
P7-08,0x2708,DRV's Parameter  P7-08,UDINT,32,rw,RT,-,P7,—
P7-09,0x2709,DRV's Parameter  P7-09,UDINT,32,rw,RT,-,P7,—
P7-10,0x270A,DRV's Parameter  P7-10,UDINT,32,rw,RT,-,P7,—
P7-11,0x270B,DRV's Parameter  P7-11,UDINT,32,rw,RT,-,P7,—
P7-12,0x270C,DRV's Parameter  P7-12,UDINT,32,rw,RT,-,P7,—
P7-13,0x270D,DRV's Parameter  P7-13,UDINT,32,rw,RT,-,P7,—
P7-14,0x270E,DRV's Parameter  P7-14,UDINT,32,rw,RT,-,P7,—
P7-15,0x270F,DRV's Parameter  P7-15,UDINT,32,rw,RT,-,P7,—
P7-16,0x2710,DRV's Parameter  P7-16,UDINT,32,rw,RT,-,P7,—
P7-17,0x2711,DRV's Parameter  P7-17,UDINT,32,rw,RT,-,P7,—
P7-18,0x2712,DRV's Parameter  P7-18,UDINT,32,rw,RT,-,P7,—
P7-19,0x2713,DRV's Parameter  P7-19,UDINT,32,rw,RT,-,P7,—
P7-20,0x2714,DRV's Parameter  P7-20,UDINT,32,rw,RT,-,P7,—
P7-21,0x2715,DRV's Parameter  P7-21,UDINT,32,rw,RT,-,P7,—
P7-22,0x2716,DRV's Parameter  P7-22,UDINT,32,rw,RT,-,P7,—
P7-23,0x2717,DRV's Parameter  P7-23,UDINT,32,rw,RT,-,P7,—
P7-24,0x2718,DRV's Parameter  P7-24,UDINT,32,rw,RT,-,P7,—
P7-25,0x2719,DRV's Parameter  P7-25,UDINT,32,rw,RT,-,P7,—
P7-26,0x271A,DRV's Parameter  P7-26,UDINT,32,rw,RT,-,P7,—
P7-27,0x271B,DRV's Parameter  P7-27,UDINT,32,rw,RT,-,P7,—
